A1-VERB-81,A1,,kochen [sound:googletts-ca7ac7fd-86da8127-a3e93aff-5bf2dfb9-3b7afdcd.mp3],cook,,ich koche&nbsp;<div>du kochst&nbsp;</div><div>er/sie/es kocht&nbsp;</div><div>wir kochen&nbsp;</div><div>ihr kocht&nbsp;</div><div>Sie kochen</div>,ich kochte&nbsp;<div>du kochtest&nbsp;</div><div>er/sie/es kochte&nbsp;</div><div>wir kochten&nbsp;</div><div>ihr kochtet&nbsp;</div><div>Sie kochten</div>,ich werde kochen&nbsp;<div>du wirst kochen&nbsp;</div><div>er/sie/es wird kochen&nbsp;</div><div>wir werden kochen&nbsp;</div><div>ihr werdet kochen&nbsp;</div><div>Sie werden kochen</div>,ich habe gekocht&nbsp;<div>du hast gekocht&nbsp;</div><div>er/sie/es hat gekocht&nbsp;</div><div>wir haben gekocht&nbsp;</div><div>ihr habt gekocht&nbsp;</div><div>Sie haben gekocht</div>,haben [sound:googletts-d645da84-e832ed18-9b8cf121-3cd221a5-74132fa2.mp3],to cook [sound:googletts-ff162172-c17a12d4-f1683749-754101b4-b050e457.mp3],Mr. Georgi good at cooking. [sound:googletts-15896d79-64ec667a-35427d9c-22725cc7-b99a6368.mp3],Herr Georgi kann gut kochen. [sound:googletts-1cce94be-22f65845-41b2583a-4340afea-19a35027.mp3],
A1-VERB-83,A1,,kosten [sound:googletts-07486ff6-14a14d93-c518a19e-ed040ca5-97b41326.mp3],cost,,ich koste&nbsp;<div>du kostest&nbsp;</div><div>er/sie/es kostet&nbsp;</div><div>wir kosten&nbsp;</div><div>ihr kostet&nbsp;</div><div>Sie kosten</div>,ich kostete&nbsp;<div>du kostetest&nbsp;</div><div>er/sie/es kostete&nbsp;</div><div>wir kosteten&nbsp;</div><div>ihr kostetet&nbsp;</div><div>Sie kosteten</div>,ich werde kosten&nbsp;<div>du wirst kosten&nbsp;</div><div>er/sie/es wird kosten&nbsp;</div><div>wir werden kosten&nbsp;</div><div>ihr werdet kosten&nbsp;</div><div>Sie werden kosten</div>,ich habe gekostet&nbsp;<div>du hast gekostet&nbsp;</div><div>er/sie/es hat gekostet&nbsp;</div><div>wir haben gekostet&nbsp;</div><div>ihr habt gekostet&nbsp;</div><div>Sie haben gekostet</div>,haben [sound:googletts-d645da84-e832ed18-9b8cf121-3cd221a5-74132fa2.mp3],to cost [sound:googletts-f90f446c-c43271e6-6ee2d285-2552fb90-49873020.mp3],How much is it? - 10 Euro. [sound:googletts-04a851d3-6aba7bbb-e6750c08-87c79681-6965efc3.mp3],Wie viel kostet das? – 10 Euro. [sound:googletts-8e06ffa4-da23f880-43cc99ae-6fb3fd36-7b65c085.mp3],
A1-VERB-84,A1,,krenken [sound:googletts-ffce406e-2698b049-137f9aff-deab0c7f-643ec9fb.mp3],get sick,,ich kranke&nbsp;<div>du krankst&nbsp;</div><div>er/sie/es krankt&nbsp;</div><div>wir kranken&nbsp;</div><div>ihr krankt&nbsp;</div><div>Sie kranken</div>,ich krankte&nbsp;<div>du kranktest&nbsp;</div><div>er/sie/es krankte&nbsp;</div><div>wir krankten&nbsp;</div><div>ihr kranktet&nbsp;</div><div>Sie krankten</div>,ich werde kranken&nbsp;<div>du wirst kranken&nbsp;</div><div>er/sie/es wirdkranken&nbsp;</div><div>wir werden kranken&nbsp;</div><div>ihr werdet kranken&nbsp;</div><div>Sie werden kranken</div>,ich bingekrankt&nbsp;<div>du bistgekrankt&nbsp;</div><div>er/sie/es ist gekrankt&nbsp;</div><div>wir sind gekrankt&nbsp;</div><div>ihr seid gekrankt&nbsp;</div><div>Sie sind gekrankt</div>,sein [sound:googletts-1e0bb217-bfaa5681-6faf3aef-7d74ead6-bf046ba2.mp3],to get sick [sound:googletts-20d3f604-6b60af4d-7773a20b-b14c92be-a295ca6f.mp3],"Today, I can not come to work, I'm sick and lying in bed. [sound:googletts-68af054b-c4c6b76c-a402dd1e-a01cace2-85d63729.mp3]","Ich kann heute nicht zur Arbeit kommen, ich bin krank und liege im Bett. [sound:googletts-517f1a75-e2c0fb53-f30adf55-ec54a8bd-881f3665.mp3]",
A1-VERB-85,A1,,kriegen [sound:googletts-a8d031b8-074666d4-4eeafd06-d1b47f94-ffb05749.mp3],get,,ich kriege&nbsp;<div>du kriegst&nbsp;</div><div>er/sie/es kriegt&nbsp;</div><div>wir kriegen&nbsp;</div><div>ihr kriegt&nbsp;</div><div>Sie kriegen</div>,ich kriegte&nbsp;<div>du kriegtest&nbsp;</div><div>er/sie/es kriegte&nbsp;</div><div>wir kriegten&nbsp;</div><div>ihr kriegtet&nbsp;</div><div>Sie kriegten</div>,ich werde kriegen&nbsp;<div>du wirst kriegen&nbsp;</div><div>er/sie/es wird kriegen&nbsp;</div><div>wir werden kriegen&nbsp;</div><div>ihr werdet kriegen&nbsp;</div><div>Sie werden kriegen</div>,ich habe gekriegt&nbsp;<div>du hast gekriegt&nbsp;</div><div>er/sie/es hat gekriegt&nbsp;</div><div>wir haben gekriegt&nbsp;</div><div>ihr habt gekriegt&nbsp;</div><div>Sie haben gekriegt</div>,haben [sound:googletts-d645da84-e832ed18-9b8cf121-3cd221a5-74132fa2.mp3],to get (colloquial) [sound:googletts-ee4129f4-f14c4fee-6440db5b-dbc80bf5-291993eb.mp3],I get 15 euros per hour for my work. [sound:googletts-3874f3aa-2c5f6935-7c6f7291-6c9b687a-ee23695c.mp3],Ich kriege 15 Euro in der Stunde für meine Arbeit. [sound:googletts-150a80c1-f82e1ca1-bb7cbfa7-b13c2b4c-f6750c11.mp3],
A1-VERB-87,A1,,kümmern [sound:googletts-e3826a04-d36bbb09-9ad2c600-ecf76c44-0137dec4.mp3],care,,ich kümmeremich&nbsp;<div>du kümmerstdich&nbsp;</div><div>er/sie/es kümmertsich&nbsp;</div><div>wir kümmernuns&nbsp;</div><div>ihr kümmerteuch&nbsp;</div><div>Sie kümmernsich</div>,ich kümmertemich&nbsp;<div>du kümmertestdich&nbsp;</div><div>er/sie/es kümmertesich&nbsp;</div><div>wir kümmertenuns&nbsp;</div><div>ihr kümmerteteuch&nbsp;</div><div>Sie kümmertensich</div>,ich habe mich gekümmert&nbsp;<div>du hast dich gekümmert&nbsp;</div><div>er/sie/es hat sich gekümmert&nbsp;</div><div>wir haben uns gekümmert&nbsp;</div><div>ihr habt euch gekümmert&nbsp;</div><div>Sie haben sich gekümmert</div>,ich hatte mich gekümmert&nbsp;<div>du hattest dich gekümmert&nbsp;</div><div>er/sie/es hatte sich gekümmert&nbsp;</div><div>wir hatten uns gekümmert&nbsp;</div><div>ihr hattet euch gekümmert&nbsp;</div><div>Sie hatten sich gekümmert</div>,haben [sound:googletts-d645da84-e832ed18-9b8cf121-3cd221a5-74132fa2.mp3],to care [sound:googletts-0f7927a3-14423e76-2b85d0d1-74e680d0-8716d9ae.mp3],Every mother cares for her young children. [sound:googletts-c1f82b61-90214218-23848fb9-f62d98fb-4a5bfbcb.mp3],Jede Mutter kümmert sich um ihre kleinen Kinder. [sound:googletts-22cfd59e-ae2a5b39-acc6db5c-063e2756-68a0d480.mp3],
A1-VERB-88,A1,,lachen [sound:googletts-3228b6d6-02e39f88-e27b6856-2ec5042c-9587bb53.mp3],laugh,,ich lache&nbsp;<div>du lachst&nbsp;</div><div>er/sie/es lacht&nbsp;</div><div>wir lachen&nbsp;</div><div>ihr lacht&nbsp;</div><div>Sie lachen</div>,ich lachte&nbsp;<div>du lachtest&nbsp;</div><div>er/sie/es lachte&nbsp;</div><div>wir lachten&nbsp;</div><div>ihr lachtet&nbsp;</div><div>Sie lachten</div>,ich werde lachen&nbsp;<div>du wirst lachen&nbsp;</div><div>er/sie/es wird lachen&nbsp;</div><div>wir werden lachen&nbsp;</div><div>ihr werdet lachen&nbsp;</div><div>Sie werden lachen</div>,ich habe gelacht&nbsp;<div>du hast gelacht&nbsp;</div><div>er/sie/es hat gelacht&nbsp;</div><div>wir haben gelacht&nbsp;</div><div>ihr habt gelacht&nbsp;</div><div>Sie haben gelacht</div>,haben [sound:googletts-d645da84-e832ed18-9b8cf121-3cd221a5-74132fa2.mp3],to laugh [sound:googletts-28973209-db45c1ca-13f60e39-39f07cf1-e82f1604.mp3],The children laugh a lot. [sound:googletts-21f7b127-d1fa1179-37d0184d-83e812dd-2218584a.mp3],Die Kinder lachen viel. [sound:googletts-d4a2806f-d6f120b1-f73ba52f-fadeea1c-0fe6cd06.mp3],
A1-VERB-89,A1,✭⚑,laufen [sound:googletts-785d3ac7-c90ba2cc-35ffec08-82788b1c-3fcf7554.mp3],run,au-ie-au,ich laufe&nbsp;<div>du läufst&nbsp;</div><div>er/sie/es läuft&nbsp;</div><div>wir laufen&nbsp;</div><div>ihr lauft&nbsp;</div><div>Sie laufen</div>,ich lief&nbsp;<div>du liefst&nbsp;</div><div>er/sie/es lief&nbsp;</div><div>wir liefen&nbsp;</div><div>ihr lieft&nbsp;</div><div>Sie liefen</div>,ich werde laufen&nbsp;<div>du wirst laufen&nbsp;</div><div>er/sie/es wir dlaufen&nbsp;</div><div>wir werden laufen&nbsp;</div><div>ihr werdet laufen&nbsp;</div><div>Sie werden laufen</div>,ich bin gelaufen&nbsp;<div>du bist gelaufen&nbsp;</div><div>er/sie/es ist gelaufen&nbsp;</div><div>wir sind gelaufen&nbsp;</div><div>ihr seid gelaufen&nbsp;</div><div>Sie sindgelaufen</div>,haben / sein [sound:googletts-b5019b70-c8f36388-7c51ae9a-82e1b1a4-04cc39a8.mp3],to run [sound:googletts-07ecf982-2caa6293-66ed8905-bda60daf-c70730b8.mp3],"I don't want to drive a car, I want to run. [sound:googletts-cfd665a2-394d3ff8-8a4d4135-664b8f25-0bb8bd3c.mp3]","Ich möchte nicht Auto fahren, ich möchte laufen. [sound:googletts-8086ab96-8406911e-138bac8c-ad5beeec-d5d8d145.mp3]",
A1-VERB-90,A1,,leben [sound:googletts-43cad222-55fdcd14-ee191f29-3655e48b-6cccbda9.mp3],live,,ich lebe&nbsp;<div>du lebst&nbsp;</div><div>er/sie/es lebt&nbsp;</div><div>wir leben&nbsp;</div><div>ihr lebt&nbsp;</div><div>Sie leben</div>,ich lebte&nbsp;<div>du lebtest&nbsp;</div><div>er/sie/es lebte&nbsp;</div><div>wir lebten&nbsp;</div><div>ihr lebtet&nbsp;</div><div>Sie lebten</div>,ich werde leben&nbsp;<div>du wirst leben&nbsp;</div><div>er/sie/es wird leben&nbsp;</div><div>wir werden leben&nbsp;</div><div>ihr werdet leben&nbsp;</div><div>Sie werden leben</div>,ich habe gelebt&nbsp;<div>du hast gelebt&nbsp;</div><div>er/sie/es hat gelebt&nbsp;</div><div>wir haben gelebt&nbsp;</div><div>ihr habt gelebt&nbsp;</div><div>Sie haben gelebt</div>,haben [sound:googletts-d645da84-e832ed18-9b8cf121-3cd221a5-74132fa2.mp3],to live [sound:googletts-f463465a-13fe681d-c1948c44-480fa5bb-305aadbc.mp3],She lives with her sister. [sound:googletts-75d4830a-f2ae08d1-9496cb97-fa8446f6-d85a711a.mp3],Sie lebt bei ihrer Schwester. [sound:googletts-f4ff4883-235ec6fc-3de591ac-dfafc011-9e2c1792.mp3],
A1-VERB-91,A1,,legen [sound:googletts-db8f2735-d891dfe0-856f1fff-96ecab0d-412e14fe.mp3],put,,ich lege&nbsp;<div>du legst&nbsp;</div><div>er/sie/es legt&nbsp;</div><div>wir legen&nbsp;</div><div>ihr legt&nbsp;</div><div>Sie legen</div>,ich legte&nbsp;<div>du legtest&nbsp;</div><div>er/sie/es legte&nbsp;</div><div>wir legten&nbsp;</div><div>ihr legtet&nbsp;</div><div>Sie legten</div>,ich werde legen&nbsp;<div>du wirst legen&nbsp;</div><div>er/sie/es wird legen&nbsp;</div><div>wir werden legen&nbsp;</div><div>ihr werdet legen&nbsp;</div><div>Sie werden legen</div>,ich habe gelegt&nbsp;<div>du hast gelegt&nbsp;</div><div>er/sie/es hat gelegt&nbsp;</div><div>wir haben gelegt&nbsp;</div><div>ihr habt gelegt&nbsp;</div><div>Sie haben gelegt</div>,haben [sound:googletts-d645da84-e832ed18-9b8cf121-3cd221a5-74132fa2.mp3],to put [sound:googletts-00215a99-7a82cde3-47472bbc-46bf2885-89ea1250.mp3],Place the book on the table. [sound:googletts-3020aef6-e0bc0cf3-2fa3da57-331e5d4d-92608beb.mp3],Legen Sie das Buch auf den Tisch. [sound:googletts-128d57ed-dba6a903-b08db3df-3a1d149e-44759abe.mp3],
A1-VERB-93,A1,,lesen [sound:googletts-b259661a-7ea02fd0-2122ae02-56d8a130-55fa5151.mp3],read,,ich lese&nbsp;<div>du liest&nbsp;</div><div>er/sie/es liest&nbsp;</div><div>wir lesen&nbsp;</div><div>ihr lest&nbsp;</div><div>Sie lesen</div>,ich las&nbsp;<div>du lasest&nbsp;</div><div>er/sie/es las&nbsp;</div><div>wir lasen ihr last&nbsp;</div><div>Sie lasen</div>,ich werde lesen&nbsp;<div>du wirst lesen&nbsp;</div><div>er/sie/es wird lesen&nbsp;</div><div>wir werden lesen&nbsp;</div><div>ihr werdet lesen&nbsp;</div><div>Sie werden lesen</div>,ich habe gelesen&nbsp;<div>du hast gelesen&nbsp;</div><div>er/sie/es hat gelesen&nbsp;</div><div>wir haben gelesen&nbsp;</div><div>ihr habt gelesen&nbsp;</div><div>Sie haben gelesen</div>,haben [sound:googletts-d645da84-e832ed18-9b8cf121-3cd221a5-74132fa2.mp3],to read [sound:googletts-12623d28-85f963f7-06336ac0-89666795-1e565e97.mp3],I read a book by García Márquez. [sound:googletts-5f153f5a-24d7ac36-9f644336-6cc023fc-6d509334.mp3],Ich lese ein Buch von García Márquez. [sound:googletts-f4005c88-5d9aeb59-1ac04e17-506513b9-a948aecc.mp3],
A1-VERB-95,A1,,lieben [sound:googletts-94ae90fa-f92fad16-371ffa20-3b37fd57-53accea3.mp3],love,,ich liebe&nbsp;<div>du liebst&nbsp;</div><div>er/sie/es liebt&nbsp;</div><div>wir lieben&nbsp;</div><div>ihr liebt&nbsp;</div><div>Sie lieben</div>,ich liebte&nbsp;<div>du liebtest&nbsp;</div><div>er/sie/es liebte&nbsp;</div><div>wir liebten&nbsp;</div><div>ihr liebtet&nbsp;</div><div>Sie liebten</div>,ich werde lieben&nbsp;<div>du wirst lieben&nbsp;</div><div>er/sie/es wird lieben&nbsp;</div><div>wir werden lieben</div><div>ihr werdet lieben&nbsp;</div><div>Sie werden lieben</div>,ich habe geliebt&nbsp;<div>du hast geliebt&nbsp;</div><div>er/sie/es hat geliebt&nbsp;</div><div>wir haben geliebt&nbsp;</div><div>ihr habt geliebt&nbsp;</div><div>Sie haben geliebt</div>,haben [sound:googletts-d645da84-e832ed18-9b8cf121-3cd221a5-74132fa2.mp3],to love [sound:googletts-86ee922a-4063d618-2d00af1c-167bd94e-19bfdd5b.mp3],I love you! [sound:googletts-b7536574-10ff4deb-658aecf8-deaa7490-ba329a07.mp3],Ich liebe dich! [sound:googletts-c69d0590-1c9f9591-55eaed39-9ab9c390-2b3d263e.mp3],
A1-VERB-97,A1,,liegen [sound:googletts-7d041268-267500b7-961e6745-72f03806-a909b418.mp3],lie or be situated&nbsp;,,ich liege&nbsp;<div>du liegst&nbsp;</div><div>er/sie/es liegt&nbsp;</div><div>wir liegen&nbsp;</div><div>ihr liegt&nbsp;</div><div>Sie liegen</div>,ich lag&nbsp;<div>du lagst&nbsp;</div><div>er/sie/es lag&nbsp;</div><div>wir lagen&nbsp;</div><div>ihr lagt&nbsp;</div><div>Sie lagen</div>,ich werde liegen&nbsp;<div>du wirst liegen&nbsp;</div><div>er/sie/es wird liegen&nbsp;</div><div>wir werden liegen&nbsp;</div><div>ihr werdet liegen&nbsp;</div><div>Sie werden liegen</div>,ich habe gelegen&nbsp;<div>du hast gelegen&nbsp;</div><div>er/sie/es hat gelegen&nbsp;</div><div>wir haben gelegen&nbsp;</div><div>ihr habt gelegen&nbsp;</div><div>Sie haben gelegen</div>,haben [sound:googletts-d645da84-e832ed18-9b8cf121-3cd221a5-74132fa2.mp3],to lie or be situated on [sound:googletts-8594eac6-9a3e2643-2eef85bc-5e59c38d-d123a287.mp3],At nine o'clock Judith is still in bed. [sound:googletts-bab56d85-29a406d3-a5d8629c-e184e244-a286bc7f.mp3],Um neun Uhr liegt Judith noch im Bett. [sound:googletts-4a540b6a-bbf0388c-b0c559b2-a3f1298f-994c349a.mp3],
A1-VERB-98,A1,,machen [sound:googletts-ed52bb8c-3b936f04-b8e89217-6392dd79-fb727f61.mp3],do,,ich mache&nbsp;<div>du machst&nbsp;</div><div>er/sie/es macht&nbsp;</div><div>wir machen</div><div>ihr macht&nbsp;</div><div>Sie machen</div>,ich machte&nbsp;<div>du machtest&nbsp;</div><div>er/sie/es machte&nbsp;</div><div>wir machten&nbsp;</div><div>ihr machtet&nbsp;</div><div>Sie machten</div>,ich werde machen&nbsp;<div>du wirst machen&nbsp;</div><div>er/sie/es wird machen&nbsp;</div><div>wir werden machen&nbsp;</div><div>ihr werdet machen&nbsp;</div><div>Sie werden machen</div>,ich habe gemacht<div>du hast gemacht&nbsp;</div><div>er/sie/es hat gemacht&nbsp;</div><div>wir haben gemacht&nbsp;</div><div>ihr habt gemacht&nbsp;</div><div>Sie haben gemacht</div>,haben [sound:googletts-d645da84-e832ed18-9b8cf121-3cd221a5-74132fa2.mp3],to do [sound:googletts-77247905-98e5abe7-e9609053-9587b52e-6240e7b4.mp3],What are you doing this evening? [sound:googletts-c7e86c72-4f599279-4745e9f5-c897026c-6685a2b7.mp3],Was machst du heute Abend? [sound:googletts-8715fc8d-e41cd732-ddd0434e-465d9c93-5fe5fecd.mp3],
A1-VERB-99,A1,,mieten [sound:googletts-ead6602d-093332bd-8cd42ada-14a4a200-cff3f385.mp3],rent,,ich miete&nbsp;<div>du mietest&nbsp;</div><div>er/sie/es mietet&nbsp;</div><div>wir mieten&nbsp;</div><div>ihr mietet&nbsp;</div><div>Sie mieten</div>,ich mietete&nbsp;<div>du mietetest&nbsp;</div><div>er/sie/es mietete&nbsp;</div><div>wir mieteten&nbsp;</div><div>ihr mietetet&nbsp;</div><div>Sie mieteten</div>,ich werde mieten&nbsp;<div>du wirst mieten&nbsp;</div><div>er/sie/es wird mieten&nbsp;</div><div>wir werden mieten&nbsp;</div><div>ihr werdet mieten&nbsp;</div><div>Sie werden mieten</div>,ich habe gemietet&nbsp;<div>du hast gemietet&nbsp;</div><div>er/sie/es hat gemietet&nbsp;</div><div>wir haben gemietet&nbsp;</div><div>ihr habt gemietet&nbsp;</div><div>Sie haben gemietet</div>,haben [sound:googletts-d645da84-e832ed18-9b8cf121-3cd221a5-74132fa2.mp3],to rent [sound:googletts-69144e0b-5d882b42-32d6ed4c-09ab4f2c-3727367a.mp3],I would like to rent a car. [sound:googletts-593f8b27-fa931872-17e8474c-1e495cea-2c7ba1c3.mp3],Ich möchte ein Auto mieten. [sound:googletts-e0aaab54-0a861cb2-ddc3b5a6-820da93b-96849318.mp3],
A1-VERB-100,A1,,mitbringen [sound:googletts-314be699-2fc81b4a-f76f539c-8905b5c9-020ed9f8.mp3],bring,,ich bringe mit&nbsp;<div>du bringst mit&nbsp;</div><div>er/sie/es bringt mit&nbsp;</div><div>wir bringen mit&nbsp;</div><div>ihr bringt mit&nbsp;</div><div>Sie bringen mit</div>,ich brachte mit&nbsp;<div>du brachtest mit&nbsp;</div><div>er/sie/es brachte mit&nbsp;</div><div>wir brachten mit&nbsp;</div><div>ihr brachtet mit&nbsp;</div><div>Sie brachten mit</div>,ich werde mit bringen&nbsp;<div>du wirst mit bringen&nbsp;</div><div>er/sie/es wird mit bringen&nbsp;</div><div>wir werden mit bringen&nbsp;</div><div>ihr werdet mit bringen&nbsp;</div><div>Sie werden mit bringen</div>,ich habe mit gebracht&nbsp;<div>du hast mit gebracht&nbsp;</div><div>er/sie/es hat mit gebracht&nbsp;</div><div>wir haben mit gebracht&nbsp;</div><div>ihr habt mit gebracht&nbsp;</div><div>Sie haben mitgebracht</div>,haben [sound:googletts-d645da84-e832ed18-9b8cf121-3cd221a5-74132fa2.mp3],to bring (something)&nbsp;[sound:googletts-d5fa83cb-d4425cb4-2cbfc225-59ae107a-0dca0a21.mp3],I go shopping. Should I bring you something? [sound:googletts-3b926247-39fac098-c2799e08-908ab694-1fde632a.mp3],Ich gehe einkaufen. Soll ich dir was mitbringen? [sound:googletts-2136b01f-be4b6fca-079760bd-9c8c615f-f3103bae.mp3],
A1-VERB-101,A1,,mitkommen [sound:googletts-160cbace-efad710c-e2d5ee1b-76e59d65-aee4e1f8.mp3],come along,,ich komme mit&nbsp;<div>du kommst mit&nbsp;</div><div>er/sie/es kommt mit&nbsp;</div><div>wir kommenmit&nbsp;</div><div>ihr kommtmit&nbsp;</div><div>Sie kommen mit</div>,ich kam mit&nbsp;<div>du kamst mit&nbsp;</div><div>er/sie/es kam mit&nbsp;</div><div>wir kamen mit&nbsp;</div><div>ihr kamt mit&nbsp;</div><div>Sie kamenmit</div>,ich werde mit kommen&nbsp;<div>du wirst mit kommen&nbsp;</div><div>er/sie/es wird mit kommen&nbsp;</div><div>wir werden mit kommen&nbsp;</div><div>ihr werdet mit kommen&nbsp;</div><div>Sie werden mit kommen</div>,ich bin mit gekommen&nbsp;<div>du bist mit gekommen&nbsp;</div><div>er/sie/es ist mit gekommen&nbsp;</div><div>wir sind mit gekommen&nbsp;</div><div>ihr seid mit gekommen&nbsp;</div><div>Sie sind mit gekommen</div>,sein [sound:googletts-1e0bb217-bfaa5681-6faf3aef-7d74ead6-bf046ba2.mp3],to come along [sound:googletts-cedb9a0b-9b549e81-438433ef-3fa1d583-1749929a.mp3],I go to the movies. Are you coming with me? [sound:googletts-fa18486b-74ee643f-8febac1f-6bab9b48-0954d2a0.mp3],Ich gehe ins Kino. Kommst du mit? [sound:googletts-a131c37c-8dec284f-ec017c13-1888f7d4-db112445.mp3],
A1-VERB-102,A1,,mitmachen [sound:googletts-874441d3-e785bb64-2b8228f5-19f34bfb-3ef3a8cf.mp3],participate,,ich mache mit&nbsp;<div>du machst mit&nbsp;</div><div>er/sie/es macht mit&nbsp;</div><div>wir machen mit&nbsp;</div><div>ihr macht mit&nbsp;</div><div>Sie machen mit</div>,ich machte mit&nbsp;<div>du machtest mit&nbsp;</div><div>er/sie/es machte mit&nbsp;</div><div>wir machten mit&nbsp;</div><div>ihr machtet mit&nbsp;</div><div>Sie machten mit</div>,ich werde mitmachen&nbsp;<div>du wirst mitmachen&nbsp;</div><div>er/sie/es wird mitmachen&nbsp;</div><div>wir werden mitmachen&nbsp;</div><div>ihr werdet mitmachen</div><div>Sie werden mitmachen</div>,ich habe mitgemacht&nbsp;<div>du hast mitgemacht&nbsp;</div><div>er/sie/es hat mitgemacht&nbsp;</div><div>wir haben mitgemacht&nbsp;</div><div>ihr habt mitgemacht&nbsp;</div><div>Sie haben mitgemacht</div>,haben [sound:googletts-d645da84-e832ed18-9b8cf121-3cd221a5-74132fa2.mp3],to participate [sound:googletts-602be405-92b593cf-6f182497-061ad079-3a292c54.mp3],Why don't you take part? [sound:googletts-5aebabc1-962f86c6-db71fef0-7ef6f193-7466b498.mp3],Warum macht ihr nicht mit? [sound:googletts-7bfa296c-9734319a-dd299df8-6766f36b-adaea58e.mp3],
A1-VERB-103,A1,,mitnehmen [sound:googletts-65b091c6-65e3589f-231f50f7-2f28a573-450a1820.mp3],take along,,ich nehme mit&nbsp;<div>du nimmst mit&nbsp;</div><div>er/sie/es nimmt mit&nbsp;</div><div>wir nehmen mit&nbsp;</div><div>ihr nehmt mit&nbsp;</div><div>Sie nehmen mit</div>,ich nahmmit&nbsp;<div>du nahmstmit&nbsp;</div><div>er/sie/es nahm mit&nbsp;</div><div>wir nahmen mit&nbsp;</div><div>ihr nahmt mit&nbsp;</div><div>Sie nahmen mit</div>,ich werde mitnehmen&nbsp;<div>du wirst mitnehmen&nbsp;</div><div>er/sie/es wird mitnehmen&nbsp;</div><div>wir werden mitnehmen&nbsp;</div><div>ihr werdet mitnehmen&nbsp;</div><div>Sie werden mitnehmen</div>,ich habe mitgenommen&nbsp;<div>du hast mitgenommen&nbsp;</div><div>er/sie/es hat mitgenommen&nbsp;</div><div>wir haben mitgenommen&nbsp;</div><div>ihr habt mitgenommen&nbsp;</div><div>Sie haben mitgenommen</div>,haben [sound:googletts-d645da84-e832ed18-9b8cf121-3cd221a5-74132fa2.mp3],to take along with [sound:googletts-f9820fb5-a967a6c4-0ef2ede1-20374cce-6a503167.mp3],Let's take my sister to the movies? [sound:googletts-f6d295c3-49a1e37f-36ff6a14-13b947c4-721bf3ec.mp3],Nehmen wir meine Schwester ins Kino mit? [sound:googletts-e47a21b9-a351d268-a2427d23-c9053b26-058d7bb9.mp3],
A1-VERB-104,A1,,mögen [sound:googletts-1fc48ca3-59ce0980-23f756d3-f22ed003-828c424d.mp3],like or want,,ich mag&nbsp;<div>du magst&nbsp;</div><div>er/sie/es mag&nbsp;</div><div>wir mögen&nbsp;</div><div>ihr mögt&nbsp;</div><div>Sie mögen</div>,ich mochte&nbsp;<div>du mochtest&nbsp;</div><div>er/sie/es mochte&nbsp;</div><div>wir mochten&nbsp;</div><div>ihr mochtet&nbsp;</div><div>Sie mochten</div>,ich werde mögen&nbsp;<div>du wirst mögen&nbsp;</div><div>er/sie/es wirdmögen&nbsp;</div><div>wir werden mögen&nbsp;</div><div>ihr werdet mögen&nbsp;</div><div>Sie werden mögen</div>,ich habe gemocht&nbsp;<div>du hast gemocht&nbsp;</div><div>er/sie/es hat gemocht&nbsp;</div><div>wir haben gemocht&nbsp;</div><div>ihr habt gemocht&nbsp;</div><div>Sie haben gemocht</div>,haben [sound:googletts-d645da84-e832ed18-9b8cf121-3cd221a5-74132fa2.mp3],to like or want&nbsp;[sound:googletts-3edc49b5-6276c39c-1110d905-14b16cae-76f59e7f.mp3],What would you like to drink? [sound:googletts-88fe464a-ddb015ab-11c0c3ce-c6af4525-fb755f1b.mp3],Was möchten Sie trinken? [sound:googletts-11f1ef04-834570ab-854bf9f3-adf4424a-debb73c3.mp3],
A1-VERB-105,A1,,müssen [sound:googletts-53677cd1-9ff30fdf-0bb9a57c-373bdbcb-2573d210.mp3],have to or need to,,ich muss&nbsp;<div>du musst&nbsp;</div><div>er/sie/es muss&nbsp;</div><div>wir müssen&nbsp;</div><div>ihr müsst&nbsp;</div><div>Sie müssen</div>,ich musste&nbsp;<div>du musstest&nbsp;</div><div>er/sie/es musste&nbsp;</div><div>wir mussten&nbsp;</div><div>ihr musstet&nbsp;</div><div>Sie mussten</div>,ich werde müssen&nbsp;<div>du wirst müssen&nbsp;</div><div>er/sie/es wird müssen&nbsp;</div><div>wir werden müssen&nbsp;</div><div>ihr werdet müssen&nbsp;</div><div>Sie werden müssen</div>,ich habe gemusst&nbsp;<div>du hast gemusst&nbsp;</div><div>er/sie/es hat gemusst&nbsp;</div><div>wir haben gemusst&nbsp;</div><div>ihr habt gemusst&nbsp;</div><div>Sie haben gemusst</div>,haben [sound:googletts-d645da84-e832ed18-9b8cf121-3cd221a5-74132fa2.mp3],have to or need to&nbsp;[sound:googletts-757352f2-54c7fc4a-ffa98e26-95a9ab8b-58885bf4.mp3],I have to work every day from 8 a.m. to 6 p.m. [sound:googletts-3fca7d1e-d51e8b6b-27e9f464-0702a2a7-e2d5b0ff.mp3],Ich muss jeden Tag von 8 Uhr bis 18 Uhr arbeiten. [sound:googletts-ec8a7c24-f826fd59-d2eef198-7802a6bd-a32b6e3a.mp3],
